year,stateabb,state,binge_female,binge_male,binge_all,poverty
2010,AK,Alaska,,,,9.9
2010,AL,Alabama,,,,19.0
2010,AR,Arkansas,,,,18.8
2010,AZ,Arizona,,,,17.4
2010,CA,California,,,,15.8
2010,CO,Colorado,,,,13.4
2010,CT,Connecticut,,,,10.1
2010,DC,District of Columbia,,,,19.2
2010,DE,Delaware,,,,11.8
2010,FL,Florida,,,,16.5
2010,GA,Georgia,,,,17.9
2010,HI,Hawaii,,,,10.7
2010,IA,Iowa,,,,12.6
2010,ID,Idaho,,,,15.7
2010,IL,Illinois,,,,13.8
2010,IN,Indiana,,,,15.3
2010,KS,Kansas,,,,13.6
2010,KY,Kentucky,,,,19.0
2010,LA,Louisiana,,,,18.7
2010,MA,Massachusetts,,,,11.4
2010,MD,Maryland,,,,9.9
2010,ME,Maine,,,,12.9
2010,MI,Michigan,,,,16.8
2010,MN,Minnesota,,,,11.6
2010,MO,Missouri,,,,15.3
2010,MS,Mississippi,,,,22.4
2010,MT,Montana,,,,14.6
2010,NC,North Carolina,,,,17.5
2010,ND,North Dakota,,,,13.0
2010,NE,Nebraska,,,,12.9
2010,NH,New Hampshire,,,,8.3
2010,NJ,New Jersey,,,,10.3
2010,NM,New Mexico,,,,20.4
2010,NV,Nevada,,,,14.9
2010,NY,New York,,,,14.9
2010,OH,Ohio,,,,15.8
2010,OK,Oklahoma,,,,16.9
2010,OR,Oregon,,,,15.8
2010,PA,Pennsylvania,,,,13.4
2010,PR,Puerto Rico,,,,45.0
2010,RI,Rhode Island,,,,14.0
2010,SC,South Carolina,,,,18.2
2010,SD,South Dakota,,,,14.4
2010,TN,Tennessee,,,,17.7
2010,TX,Texas,,,,17.9
2010,US,United States,,,,15.3
2010,UT,Utah,,,,13.2
2010,VA,Virginia,,,,11.1
2010,VT,Vermont,,,,12.7
2010,WA,Washington,,,,13.4
2010,WI,Wisconsin,,,,13.2
2010,WV,West Virginia,,,,18.1
2010,WY,Wyoming,,,,11.2
2011,AK,Alaska,15.6,26.0,20.8,10.5
2011,AL,Alabama,7.9,20.2,13.7,19.0
2011,AR,Arkansas,9.2,19.2,14.1,19.5
2011,AZ,Arizona,11.7,23.6,17.6,19.0
2011,CA,California,12.1,25.2,18.6,16.6
2011,CO,Colorado,14.0,26.3,20.1,13.5
2011,CT,Connecticut,11.9,24.4,17.9,10.9
2011,DC,District of Columbia,19.5,31.3,25.0,18.7
2011,DE,Delaware,13.9,27.2,20.3,11.9
2011,FL,Florida,12.0,22.6,17.1,17.0
2011,GA,Georgia,11.1,22.5,16.6,19.1
2011,GU,Guam,8.4,28.1,18.3,
2011,HI,Hawaii,12.3,30.8,21.5,12.0
2011,IA,Iowa,15.8,30.8,23.1,12.8
2011,ID,Idaho,11.2,22.0,16.6,16.5
2011,IL,Illinois,16.1,30.2,23.0,15.0
2011,IN,Indiana,12.5,23.4,17.8,16.0
2011,KS,Kansas,11.2,23.1,17.0,13.8
2011,KY,Kentucky,10.2,22.6,16.1,19.1
2011,LA,Louisiana,10.2,22.7,16.1,20.4
2011,MA,Massachusetts,16.1,25.4,20.6,11.6
2011,MD,Maryland,13.4,23.0,18.0,10.1
2011,ME,Maine,11.9,22.9,17.3,14.1
2011,MI,Michigan,12.7,27.3,19.7,17.5
2011,MN,Minnesota,15.5,29.1,22.1,11.9
2011,MO,Missouri,12.9,26.1,19.2,15.8
2011,MS,Mississippi,7.8,21.6,14.2,22.6
2011,MT,Montana,14.5,27.3,20.8,14.8
2011,NC,North Carolina,9.7,21.3,15.2,17.9
2011,ND,North Dakota,16.4,31.3,23.8,12.2
2011,NE,Nebraska,15.7,30.2,22.7,13.1
2011,NH,New Hampshire,12.9,24.7,18.7,8.8
2011,NJ,New Jersey,12.7,24.1,18.2,10.4
2011,NM,New Mexico,10.1,23.0,16.4,21.5
2011,NV,Nevada,13.2,23.9,18.6,15.9
2011,NY,New York,14.4,25.1,19.6,16.0
2011,OH,Ohio,14.0,26.6,20.1,16.4
2011,OK,Oklahoma,9.3,24.2,16.5,17.2
2011,OR,Oregon,11.7,21.4,16.4,17.5
2011,PA,Pennsylvania,13.0,24.1,18.3,13.8
2011,PR,Puerto Rico,7.8,24.1,15.3,45.6
2011,RI,Rhode Island,13.1,27.0,19.6,14.7
2011,SC,South Carolina,9.7,21.8,15.4,18.9
2011,SD,South Dakota,15.7,28.7,22.1,13.9
2011,TN,Tennessee,5.6,15.1,10.0,18.3
2011,TX,Texas,11.7,26.3,18.9,18.5
2011,US,United States,12.6,24.2,18.3,15.9
2011,UT,Utah,7.0,17.0,12.0,13.5
2011,VA,Virginia,13.6,22.5,17.9,11.5
2011,VI,Virgin Islands,,,,
2011,VT,Vermont,12.6,24.6,18.5,11.5
2011,WA,Washington,13.6,21.9,17.8,13.9
2011,WI,Wisconsin,17.4,31.3,24.3,13.1
2011,WV,West Virginia,5.2,15.5,10.1,18.6
2011,WY,Wyoming,11.0,26.7,18.9,11.3
2012,AK,Alaska,12.7,20.5,16.8,10.1
2012,AL,Alabama,7.0,18.2,12.3,19.0
2012,AR,Arkansas,7.7,16.3,11.8,19.8
2012,AZ,Arizona,9.7,21.1,15.3,18.7
2012,CA,California,10.9,23.2,16.9,17.0
2012,CO,Colorado,13.8,24.7,19.2,13.7
2012,CT,Connecticut,12.6,22.9,17.5,10.7
2012,DC,District of Columbia,19.6,27.2,23.1,18.2
2012,DE,Delaware,14.0,23.6,18.6,12.0
2012,FL,Florida,11.4,22.1,16.5,17.1
2012,GA,Georgia,9.8,19.4,14.4,19.2
2012,GU,Guam,9.8,28.7,19.3,
2012,HI,Hawaii,11.0,25.7,18.2,11.6
2012,IA,Iowa,15.2,28.5,21.7,12.7
2012,ID,Idaho,10.5,17.9,14.1,15.9
2012,IL,Illinois,14.6,29.0,21.6,14.7
2012,IN,Indiana,10.6,21.6,15.9,15.6
2012,KS,Kansas,9.5,22.3,15.8,14.0
2012,KY,Kentucky,9.1,21.0,14.9,19.4
2012,LA,Louisiana,9.7,24.1,16.5,19.9
2012,MA,Massachusetts,14.4,25.6,19.7,11.9
2012,MD,Maryland,11.7,21.7,16.4,10.3
2012,ME,Maine,11.9,24.0,17.7,14.7
2012,MI,Michigan,14.0,24.7,19.2,17.4
2012,MN,Minnesota,15.5,28.5,21.9,11.4
2012,MO,Missouri,11.5,23.5,17.2,16.2
2012,MS,Mississippi,7.0,17.9,12.1,24.2
2012,MT,Montana,16.3,27.3,21.7,15.5
2012,NC,North Carolina,8.2,18.5,13.1,18.0
2012,ND,North Dakota,18.1,30.0,24.1,11.2
2012,NE,Nebraska,15.5,29.1,22.1,13.0
2012,NH,New Hampshire,12.3,22.0,17.0,10.0
2012,NJ,New Jersey,12.1,23.8,17.7,10.8
2012,NM,New Mexico,9.2,20.3,14.6,20.8
2012,NV,Nevada,9.4,20.7,15.1,16.4
2012,NY,New York,11.2,23.3,17.0,15.9
2012,OH,Ohio,13.0,23.5,18.0,16.3
2012,OK,Oklahoma,9.3,19.7,14.4,17.2
2012,OR,Oregon,10.7,20.2,15.3,17.2
2012,PA,Pennsylvania,12.6,23.6,17.9,13.7
2012,PR,Puerto Rico,7.6,21.8,14.1,44.9
2012,RI,Rhode Island,12.3,22.6,17.2,13.7
2012,SC,South Carolina,9.6,21.8,15.4,18.3
2012,SD,South Dakota,13.9,27.4,20.6,13.4
2012,TN,Tennessee,6.5,16.6,11.3,17.9
2012,TX,Texas,8.8,24.1,16.2,17.9
2012,US,United States,11.4,22.9,16.9,15.9
2012,UT,Utah,7.2,15.2,11.2,12.8
2012,VA,Virginia,11.2,20.5,15.7,11.7
2012,VI,Virgin Islands,,,,
2012,VT,Vermont,14.0,25.1,19.3,11.8
2012,WA,Washington,12.3,21.7,16.9,13.5
2012,WI,Wisconsin,20.2,30.5,25.2,13.2
2012,WV,West Virginia,5.1,15.5,10.2,17.8
2012,WY,Wyoming,10.8,23.2,17.0,12.6
2013,AK,Alaska,14.8,23.8,19.5,9.3
2013,AL,Alabama,6.5,16.3,11.2,18.7
2013,AR,Arkansas,8.0,17.5,12.5,19.7
2013,AZ,Arizona,9.1,18.0,13.4,18.6
2013,CA,California,11.9,23.3,17.4,16.8
2013,CO,Colorado,13.5,23.6,18.5,13.0
2013,CT,Connecticut,12.5,24.3,18.2,10.7
2013,DC,District of Columbia,17.1,28.2,22.4,18.9
2013,DE,Delaware,12.0,22.4,17.0,12.4
2013,FL,Florida,9.9,21.7,15.6,17.0
2013,GA,Georgia,9.2,17.3,13.1,19.0
2013,GU,Guam,8.4,33.8,20.9,
2013,HI,Hawaii,11.2,25.4,18.3,10.8
2013,IA,Iowa,15.1,28.5,21.7,12.7
2013,ID,Idaho,10.9,18.9,14.9,15.6
2013,IL,Illinois,15.5,28.4,21.8,14.7
2013,IN,Indiana,10.3,20.2,15.0,15.9
2013,KS,Kansas,9.3,21.7,15.4,14.0
2013,KY,Kentucky,8.6,18.5,13.4,18.8
2013,LA,Louisiana,11.1,22.0,16.3,19.8
2013,MA,Massachusetts,13.8,25.5,19.4,11.9
2013,MD,Maryland,10.1,18.9,14.2,10.1
2013,ME,Maine,12.5,22.2,17.2,14.0
2013,MI,Michigan,13.9,24.1,18.9,17.0
2013,MN,Minnesota,15.1,27.0,21.0,11.2
2013,MO,Missouri,11.3,23.5,17.2,15.9
2013,MS,Mississippi,8.7,16.5,12.4,24.0
2013,MT,Montana,14.3,27.3,20.8,16.5
2013,NC,North Carolina,8.6,17.9,13.0,17.9
2013,ND,North Dakota,15.5,32.2,23.8,11.8
2013,NE,Nebraska,15.0,25.2,20.0,13.2
2013,NH,New Hampshire,12.2,21.7,16.8,8.7
2013,NJ,New Jersey,11.6,21.5,16.3,11.4
2013,NM,New Mexico,9.1,20.1,14.5,21.9
2013,NV,Nevada,9.2,21.1,15.2,15.8
2013,NY,New York,12.1,23.3,17.4,16.0
2013,OH,Ohio,12.1,22.5,17.1,16.0
2013,OK,Oklahoma,7.9,17.7,12.7,16.8
2013,OR,Oregon,12.4,20.8,16.5,16.7
2013,PA,Pennsylvania,10.7,24.2,17.2,13.7
2013,PR,Puerto Rico,7.5,23.6,15.0,45.4
2013,RI,Rhode Island,12.7,23.4,17.8,14.3
2013,SC,South Carolina,9.3,21.2,14.9,18.6
2013,SD,South Dakota,13.5,25.0,19.2,14.2
2013,TN,Tennessee,6.5,13.1,9.6,17.8
2013,TX,Texas,10.2,23.5,16.7,17.5
2013,US,United States,11.3,22.2,16.8,15.8
2013,UT,Utah,8.5,16.2,12.3,12.7
2013,VA,Virginia,10.3,22.0,15.9,11.7
2013,VI,Virgin Islands,,,,
2013,VT,Vermont,12.1,22.5,17.1,12.3
2013,WA,Washington,12.4,21.3,16.8,14.1
2013,WI,Wisconsin,16.4,28.8,22.5,13.5
2013,WV,West Virginia,6.7,15.9,11.2,18.5
2013,WY,Wyoming,10.7,22.3,16.6,10.9
2014,AK,Alaska,14.8,25.3,20.2,11.2
2014,AL,Alabama,6.8,17.9,12.0,19.3
2014,AR,Arkansas,8.9,17.9,13.3,18.9
2014,AZ,Arizona,9.1,21.1,14.9,18.2
2014,CA,California,11.1,20.3,15.6,16.4
2014,CO,Colorado,12.2,22.8,17.5,12.0
2014,CT,Connecticut,11.3,20.8,15.9,10.8
2014,DC,District of Columbia,19.4,31.2,24.9,17.7
2014,DE,Delaware,10.8,21.0,15.7,12.5
2014,FL,Florida,10.6,19.8,15.0,16.5
2014,GA,Georgia,9.2,19.6,14.2,18.3
2014,GU,Guam,12.2,33.8,22.9,
2014,HI,Hawaii,11.4,28.0,19.7,11.4
2014,IA,Iowa,15.1,27.9,21.4,12.2
2014,ID,Idaho,9.1,20.8,14.8,14.8
2014,IL,Illinois,13.3,27.5,20.2,14.4
2014,IN,Indiana,10.0,19.9,14.8,15.2
2014,KS,Kansas,9.1,22.8,15.8,13.6
2014,KY,Kentucky,7.6,18.1,12.7,19.1
2014,LA,Louisiana,11.1,21.4,16.0,19.8
2014,MA,Massachusetts,12.4,23.0,17.4,11.6
2014,MD,Maryland,11.5,19.8,15.4,10.1
2014,ME,Maine,11.5,23.0,17.0,14.1
2014,MI,Michigan,14.3,24.0,18.9,16.2
2014,MN,Minnesota,14.8,24.6,19.5,11.5
2014,MO,Missouri,9.8,20.7,15.1,15.5
2014,MS,Mississippi,7.6,18.5,12.8,21.5
2014,MT,Montana,12.5,25.3,18.9,15.4
2014,NC,North Carolina,8.3,19.6,13.6,17.2
2014,ND,North Dakota,17.8,29.9,24.0,11.5
2014,NE,Nebraska,14.1,26.8,20.3,12.4
2014,NH,New Hampshire,12.4,21.6,16.8,9.2
2014,NJ,New Jersey,11.6,20.5,15.8,11.1
2014,NM,New Mexico,7.4,20.5,13.7,21.3
2014,NV,Nevada,10.4,21.6,16.0,15.2
2014,NY,New York,11.9,18.4,15.0,15.9
2014,OH,Ohio,12.5,24.1,18.0,15.8
2014,OK,Oklahoma,7.4,18.6,12.8,16.6
2014,OR,Oregon,12.6,20.8,16.6,16.6
2014,PA,Pennsylvania,10.6,23.2,16.7,13.6
2014,PR,Puerto Rico,8.5,18.8,13.2,46.2
2014,RI,Rhode Island,12.1,25.2,18.4,14.3
2014,SC,South Carolina,9.0,19.7,14.1,18.0
2014,SD,South Dakota,12.1,22.9,17.4,14.2
2014,TN,Tennessee,5.9,15.7,10.6,18.3
2014,TX,Texas,10.8,22.1,16.3,17.2
2014,US,United States,11.1,21.4,16.0,15.5
2014,UT,Utah,7.5,15.3,11.4,11.7
2014,VA,Virginia,10.7,20.0,15.2,11.8
2014,VI,Virgin Islands,,,,
2014,VT,Vermont,12.7,23.5,17.9,12.2
2014,WA,Washington,11.9,22.4,17.1,13.2
2014,WI,Wisconsin,15.0,29.3,22.1,13.2
2014,WV,West Virginia,5.0,14.5,9.6,18.3
2014,WY,Wyoming,10.3,23.8,17.2,11.2
2015,AK,Alaska,16.4,23.9,20.3,10.3
2015,AL,Alabama,7.5,16.2,11.6,18.5
2015,AR,Arkansas,8.8,19.8,14.1,19.1
2015,AZ,Arizona,8.3,20.3,14.2,17.4
2015,CA,California,11.7,21.4,16.5,15.3
2015,CO,Colorado,12.4,23.0,17.6,11.5
2015,CT,Connecticut,11.1,23.1,16.9,10.5
2015,DC,District of Columbia,21.9,33.1,27.2,17.3
2015,DE,Delaware,12.4,17.8,14.9,12.4
2015,FL,Florida,11.0,20.5,15.6,15.7
2015,GA,Georgia,10.2,20.8,15.3,17.0
2015,GU,Guam,11.4,30.8,21.2,
2015,HI,Hawaii,11.7,26.1,18.9,10.6
2015,IA,Iowa,13.3,26.6,19.8,12.2
2015,ID,Idaho,9.8,18.6,14.1,15.1
2015,IL,Illinois,14.4,26.4,20.2,13.6
2015,IN,Indiana,9.8,22.0,15.7,14.5
2015,KS,Kansas,10.1,21.4,15.6,13.0
2015,KY,Kentucky,9.6,21.4,15.3,18.5
2015,LA,Louisiana,12.2,22.8,17.3,19.6
2015,MA,Massachusetts,12.7,23.3,17.7,11.5
2015,MD,Maryland,10.8,17.9,14.2,9.7
2015,ME,Maine,13.0,22.6,17.6,13.4
2015,MI,Michigan,12.9,24.5,18.5,15.8
2015,MN,Minnesota,14.0,25.2,19.5,10.2
2015,MO,Missouri,11.6,22.0,16.7,14.8
2015,MS,Mississippi,6.2,18.1,11.9,22.0
2015,MT,Montana,13.2,26.5,19.8,14.6
2015,NC,North Carolina,9.3,18.8,13.8,16.4
2015,ND,North Dakota,16.9,31.0,24.1,11.0
2015,NE,Nebraska,13.1,26.0,19.5,12.6
2015,NH,New Hampshire,11.8,21.5,16.5,8.2
2015,NJ,New Jersey,11.6,20.9,16.0,10.8
2015,NM,New Mexico,8.6,17.4,12.9,20.4
2015,NV,Nevada,8.4,20.2,14.2,14.7
2015,NY,New York,11.9,22.0,16.7,15.4
2015,OH,Ohio,12.9,24.0,18.2,14.8
2015,OK,Oklahoma,8.6,18.0,13.1,16.1
2015,OR,Oregon,13.1,20.3,16.6,15.4
2015,PA,Pennsylvania,11.7,22.6,17.0,13.2
2015,PR,Puerto Rico,6.4,20.1,12.7,46.1
2015,RI,Rhode Island,11.4,21.0,16.0,13.9
2015,SC,South Carolina,10.1,20.9,15.2,16.6
2015,SD,South Dakota,12.0,21.9,16.9,13.7
2015,TN,Tennessee,7.0,14.0,10.3,16.7
2015,TX,Texas,9.9,22.2,15.9,15.9
2015,US,United States,11.7,21.4,16.3,14.7
2015,UT,Utah,7.8,15.5,11.6,11.3
2015,VA,Virginia,12.3,20.7,16.3,11.2
2015,VI,Virgin Islands,,,,
2015,VT,Vermont,12.2,22.5,17.2,10.2
2015,WA,Washington,12.9,19.4,16.1,12.2
2015,WI,Wisconsin,17.1,28.9,22.9,12.1
2015,WV,West Virginia,5.0,16.5,10.6,17.9
2015,WY,Wyoming,10.5,21.3,16.0,11.1
2016,AK,Alaska,15.1,21.0,18.2,9.9
2016,AL,Alabama,8.8,17.6,13.0,17.1
