year,stateabb,state,binge_female,binge_male,binge_all,poverty
2016,AR,Arkansas,9.8,20.6,15.0,17.2
2016,AZ,Arizona,10.1,21.3,15.6,16.4
2016,CA,California,11.2,21.5,16.3,14.3
2016,CO,Colorado,13.9,24.2,19.0,11.0
2016,CT,Connecticut,11.9,21.9,16.7,9.8
2016,DC,District of Columbia,21.3,30.5,25.6,18.6
2016,DE,Delaware,13.7,20.6,17.0,11.7
2016,FL,Florida,11.3,20.1,15.5,14.7
2016,GA,Georgia,9.7,17.4,13.3,16.0
2016,GU,Guam,11.2,29.8,20.7,
2016,HI,Hawaii,12.8,24.3,18.6,9.3
2016,IA,Iowa,15.4,27.1,21.2,11.8
2016,ID,Idaho,12.0,20.3,16.1,14.4
2016,IL,Illinois,14.5,25.6,19.9,13.0
2016,IN,Indiana,12.1,23.3,17.5,14.1
2016,KS,Kansas,10.4,21.8,16.0,12.1
2016,KY,Kentucky,9.2,20.5,14.6,18.5
2016,LA,Louisiana,11.7,22.4,16.9,20.2
2016,MA,Massachusetts,13.8,22.3,17.8,10.4
2016,MD,Maryland,11.4,19.5,15.3,9.7
2016,ME,Maine,13.6,23.4,18.3,12.5
2016,MI,Michigan,14.4,24.0,19.0,15.0
2016,MN,Minnesota,16.2,26.5,21.3,9.9
2016,MO,Missouri,13.5,23.6,18.4,14.0
2016,MS,Mississippi,7.1,18.0,12.3,20.8
2016,MT,Montana,13.0,24.9,18.9,13.3
2016,NC,North Carolina,10.7,18.9,14.6,15.4
2016,ND,North Dakota,17.2,32.1,24.8,10.7
2016,NE,Nebraska,13.1,27.2,20.0,11.4
2016,NH,New Hampshire,13.2,23.1,18.0,7.3
2016,NJ,New Jersey,12.0,20.3,16.0,10.4
2016,NM,New Mexico,9.5,20.8,15.0,19.8
2016,NV,Nevada,11.7,20.0,15.8,13.8
2016,NY,New York,12.8,22.7,17.5,14.7
2016,OH,Ohio,12.8,23.5,17.9,14.6
2016,OK,Oklahoma,7.7,16.3,11.8,16.3
2016,OR,Oregon,11.9,20.8,16.3,13.3
2016,PA,Pennsylvania,13.8,25.3,19.4,12.9
2016,PR,Puerto Rico,7.7,18.1,12.5,43.5
2016,RI,Rhode Island,11.1,21.0,15.8,12.8
2016,SC,South Carolina,11.3,22.9,16.8,15.3
2016,SD,South Dakota,14.3,24.3,19.3,13.3
2016,TN,Tennessee,9.8,16.6,13.1,15.8
2016,TX,Texas,11.7,24.4,17.9,15.6
2016,US,United States,12.0,21.9,16.9,14.0
2016,UT,Utah,8.3,16.7,12.5,10.2
2016,VA,Virginia,11.8,20.2,15.8,11.0
2016,VI,Virgin Islands,8.6,22.9,15.2,
2016,VT,Vermont,13.8,23.3,18.4,11.9
2016,WA,Washington,12.2,20.7,16.4,11.3
2016,WI,Wisconsin,19.5,29.7,24.6,11.8
2016,WV,West Virginia,6.2,16.8,11.3,17.9
2016,WY,Wyoming,12.5,24.2,18.4,11.3
2017,AK,Alaska,13.8,24.9,19.7,11.1
2017,AL,Alabama,8.0,17.4,12.4,16.9
2017,AR,Arkansas,11.1,19.5,15.2,16.4
2017,AZ,Arizona,10.2,20.5,15.2,14.9
2017,CA,California,12.3,23.1,17.6,13.3
2017,CO,Colorado,14.5,23.3,18.9,10.3
2017,CT,Connecticut,11.7,19.5,15.4,9.6
2017,DC,District of Columbia,20.6,31.6,25.6,16.6
2017,DE,Delaware,11.8,18.1,14.8,13.6
2017,FL,Florida,9.9,20.7,15.1,14.0
2017,GA,Georgia,8.8,17.3,12.9,14.9
2017,GU,Guam,15.8,29.4,22.7,
2017,HI,Hawaii,12.9,26.1,19.5,9.5
2017,IA,Iowa,14.9,27.4,21.0,10.7
2017,ID,Idaho,11.3,19.0,15.1,12.8
2017,IL,Illinois,15.1,25.9,20.3,12.6
2017,IN,Indiana,11.2,22.3,16.6,13.5
2017,KS,Kansas,12.4,22.1,17.2,11.9
2017,KY,Kentucky,11.3,20.6,15.8,17.2
2017,LA,Louisiana,13.9,22.7,18.1,19.7
2017,MA,Massachusetts,15.7,22.3,18.8,10.5
2017,MD,Maryland,11.8,19.2,15.3,9.3
2017,ME,Maine,13.6,22.5,17.9,11.1
2017,MI,Michigan,13.2,23.3,18.1,14.2
2017,MN,Minnesota,14.8,25.5,20.0,9.5
2017,MO,Missouri,14.0,23.9,18.8,13.4
2017,MS,Mississippi,7.9,17.9,12.6,19.8
2017,MT,Montana,13.0,25.9,19.5,12.5
2017,NC,North Carolina,11.1,20.2,15.4,14.7
2017,ND,North Dakota,16.9,29.6,23.3,10.3
2017,NE,Nebraska,14.2,27.3,20.6,10.8
2017,NH,New Hampshire,13.3,24.3,18.7,7.7
2017,NJ,New Jersey,11.1,22.8,16.7,10.0
2017,NM,New Mexico,10.3,19.3,14.7,19.7
2017,NV,Nevada,12.0,23.8,17.9,13.0
2017,NY,New York,13.3,22.1,17.5,14.1
2017,OH,Ohio,12.5,26.0,18.9,14.0
2017,OK,Oklahoma,8.8,18.3,13.4,15.8
2017,OR,Oregon,12.4,19.7,16.0,13.2
2017,PA,Pennsylvania,13.5,23.3,18.2,12.5
2017,PR,Puerto Rico,6.8,20.5,13.1,44.4
2017,RI,Rhode Island,12.5,24.1,18.0,11.6
2017,SC,South Carolina,10.2,21.3,15.5,15.4
2017,SD,South Dakota,10.8,24.3,17.4,13.0
2017,TN,Tennessee,9.3,17.3,13.1,15.0
2017,TX,Texas,12.8,23.2,17.8,14.7
2017,US,United States,12.4,22.3,17.4,13.4
2017,UT,Utah,8.4,14.8,11.5,9.7
2017,VA,Virginia,11.9,20.2,16.0,10.6
2017,VI,Virgin Islands,,,,
2017,VT,Vermont,13.0,22.0,17.4,11.3
2017,WA,Washington,11.8,19.5,15.6,11.0
2017,WI,Wisconsin,16.5,29.2,22.7,11.3
2017,WV,West Virginia,7.1,16.3,11.5,19.1
2017,WY,Wyoming,13.1,22.8,18.0,11.3
2018,AK,Alaska,11.6,19.8,15.9,10.9
2018,AL,Alabama,7.9,17.8,12.6,16.8
2018,AR,Arkansas,10.5,19.1,14.7,17.2
2018,AZ,Arizona,11.3,20.3,15.6,14.0
2018,CA,California,10.4,21.9,16.1,12.8
2018,CO,Colorado,13.6,24.8,19.2,9.6
2018,CT,Connecticut,13.2,21.4,17.1,10.4
2018,DC,District of Columbia,21.8,27.4,24.4,16.2
2018,DE,Delaware,11.9,21.2,16.4,12.5
2018,FL,Florida,10.9,21.1,15.8,13.6
2018,GA,Georgia,10.0,19.5,14.5,14.3
2018,GU,Guam,8.4,27.5,17.9,
2018,HI,Hawaii,12.8,25.6,19.2,8.8
2018,IA,Iowa,15.5,30.1,22.6,11.2
2018,ID,Idaho,9.6,20.6,15.1,11.8
2018,IL,Illinois,12.2,27.1,19.5,12.1
2018,IN,Indiana,11.4,21.2,16.2,13.1
2018,KS,Kansas,10.7,21.0,15.8,12.0
2018,KY,Kentucky,10.1,19.7,14.7,16.9
2018,LA,Louisiana,12.0,22.5,17.1,18.6
2018,MA,Massachusetts,15.8,24.3,19.9,10.0
2018,MD,Maryland,11.2,16.4,13.6,9.0
2018,ME,Maine,12.4,21.7,16.9,11.6
2018,MI,Michigan,13.1,23.7,18.2,14.1
2018,MN,Minnesota,15.0,25.8,20.3,9.6
2018,MO,Missouri,14.2,21.3,17.6,13.2
2018,MS,Mississippi,6.8,19.4,12.7,19.7
2018,MT,Montana,13.6,22.4,18.0,13.0
2018,NC,North Carolina,9.4,20.7,14.7,14.0
2018,ND,North Dakota,16.4,27.2,22.0,10.7
2018,NE,Nebraska,14.9,27.7,21.2,11.0
2018,NH,New Hampshire,10.2,22.5,16.2,7.6
2018,NJ,New Jersey,9.2,18.1,13.5,9.5
2018,NM,New Mexico,9.4,20.2,14.6,19.5
2018,NV,Nevada,9.6,20.4,15.0,12.9
2018,NY,New York,12.3,21.4,16.5,13.6
2018,OH,Ohio,11.1,20.8,15.8,13.9
2018,OK,Oklahoma,8.6,17.5,13.0,15.6
2018,OR,Oregon,12.4,19.4,15.9,12.6
2018,PA,Pennsylvania,12.1,22.1,17.1,12.2
2018,PR,Puerto Rico,7.4,21.2,13.8,43.1
2018,RI,Rhode Island,12.7,20.6,16.5,12.9
2018,SC,South Carolina,9.5,21.2,15.1,15.3
2018,SD,South Dakota,15.5,27.1,21.3,13.1
2018,TN,Tennessee,9.9,19.0,14.3,15.3
2018,TX,Texas,12.4,22.6,17.4,14.9
2018,US,United States,11.6,21.2,16.2,12.3
2018,UT,Utah,7.8,13.5,10.6,9.0
2018,VA,Virginia,11.6,19.6,15.5,10.7
2018,VI,Virgin Islands,,,,
2018,VT,Vermont,12.9,20.4,16.5,11.0
2018,WA,Washington,11.1,18.3,14.7,10.3
2018,WI,Wisconsin,18.9,28.9,23.8,11.0
2018,WV,West Virginia,5.8,18.7,12.1,17.8
2018,WY,Wyoming,10.0,24.6,17.4,11.1
2019,AK,Alaska,11.1,20.3,15.9,10.1
2019,AL,Alabama,8.9,16.4,12.4,15.5
2019,AR,Arkansas,9.5,18.2,13.7,16.2
2019,AZ,Arizona,9.3,21.0,15.1,13.5
2019,CA,California,11.9,21.9,16.8,11.8
2019,CO,Colorado,15.1,21.5,18.2,9.3
2019,CT,Connecticut,12.0,19.6,15.6,10.0
2019,DC,District of Columbia,22.3,27.8,24.9,13.5
2019,DE,Delaware,12.8,22.1,17.2,11.3
2019,FL,Florida,12.5,19.3,15.8,12.7
2019,GA,Georgia,11.8,20.0,15.7,13.3
2019,GU,Guam,11.9,24.0,18.0,
2019,HI,Hawaii,11.0,23.7,17.3,9.3
2019,IA,Iowa,16.5,27.0,21.6,11.2
2019,ID,Idaho,11.8,21.6,16.6,11.2
2019,IL,Illinois,14.4,25.8,19.9,11.5
2019,IN,Indiana,11.0,20.5,15.5,11.9
2019,KS,Kansas,12.0,22.9,17.4,11.4
2019,KY,Kentucky,11.0,20.0,15.4,16.3
2019,LA,Louisiana,12.4,25.9,18.9,19.0
2019,MA,Massachusetts,15.4,23.2,19.1,9.4
2019,MD,Maryland,10.9,16.9,13.7,9.0
2019,ME,Maine,12.5,21.7,17.0,10.9
2019,MI,Michigan,13.4,22.7,17.9,13.0
2019,MN,Minnesota,16.3,25.3,20.7,9.0
2019,MO,Missouri,12.4,21.4,16.8,12.9
2019,MS,Mississippi,7.6,19.8,13.4,19.6
2019,MT,Montana,14.7,26.7,20.7,12.6
2019,NC,North Carolina,10.5,17.0,13.5,13.6
2019,ND,North Dakota,14.9,29.2,22.2,10.6
2019,NE,Nebraska,15.7,26.1,20.9,9.9
2019,NH,New Hampshire,11.8,21.8,16.7,7.3
2019,NJ,New Jersey,,,,9.2
2019,NM,New Mexico,9.8,20.0,14.7,18.2
2019,NV,Nevada,13.0,20.8,16.8,12.5
2019,NY,New York,13.0,20.8,16.7,13.0
2019,OH,Ohio,12.5,22.8,17.5,13.1
2019,OK,Oklahoma,8.6,17.1,12.7,15.2
2019,OR,Oregon,13.1,22.1,17.5,11.4
2019,PA,Pennsylvania,12.5,21.5,16.9,12.0
2019,PR,Puerto Rico,7.4,19.6,13.1,43.5
2019,RI,Rhode Island,13.8,23.0,18.2,10.8
2019,SC,South Carolina,13.4,18.7,15.9,13.8
2019,SD,South Dakota,16.1,26.4,21.2,11.9
2019,TN,Tennessee,10.0,19.1,14.4,13.9
2019,TX,Texas,12.0,24.2,17.9,13.6
2019,US,United States,12.4,21.6,16.8,12.3
2019,UT,Utah,8.0,14.5,11.2,8.9
2019,VA,Virginia,11.2,19.7,15.3,9.9
2019,VI,Virgin Islands,,,,
2019,VT,Vermont,14.3,22.5,18.3,10.2
2019,WA,Washington,10.4,17.9,14.1,9.8
2019,WI,Wisconsin,16.5,27.7,21.9,10.4
2019,WV,West Virginia,7.2,17.8,12.4,16.0
2019,WY,Wyoming,12.9,22.4,17.7,10.1
2020,AK,Alaska,13.2,22.1,17.9,
2020,AL,Alabama,8.7,18.1,13.2,
2020,AR,Arkansas,11.1,18.0,14.4,
2020,AZ,Arizona,10.0,18.8,14.3,
2020,CA,California,11.4,20.8,16.0,
2020,CO,Colorado,14.2,21.7,17.9,
2020,CT,Connecticut,11.7,17.0,14.3,
2020,DC,District of Columbia,20.8,24.8,22.7,
2020,DE,Delaware,9.8,19.3,14.3,
2020,FL,Florida,10.2,17.1,13.5,
2020,GA,Georgia,11.0,17.1,13.9,
2020,GU,Guam,8.0,24.2,16.2,
2020,HI,Hawaii,10.5,20.9,15.7,
2020,IA,Iowa,14.9,28.2,21.5,
2020,ID,Idaho,10.8,18.1,14.4,
2020,IL,Illinois,9.5,16.7,13.0,
2020,IN,Indiana,11.2,20.5,15.7,
2020,KS,Kansas,12.1,22.2,17.1,
2020,KY,Kentucky,9.1,20.1,14.4,
2020,LA,Louisiana,12.4,25.6,18.6,
2020,MA,Massachusetts,11.6,20.3,15.7,
2020,MD,Maryland,9.5,15.5,12.3,
2020,ME,Maine,10.2,18.8,14.4,
2020,MI,Michigan,13.1,22.0,17.4,
2020,MN,Minnesota,14.3,22.6,18.4,
2020,MO,Missouri,13.2,20.7,16.8,
2020,MS,Mississippi,8.8,18.6,13.4,
2020,MT,Montana,14.7,24.7,19.7,
2020,NC,North Carolina,10.5,18.1,14.1,
2020,ND,North Dakota,16.3,25.2,20.8,
2020,NE,Nebraska,14.4,26.6,20.4,
2020,NH,New Hampshire,12.5,19.8,16.0,
2020,NJ,New Jersey,11.7,19.1,15.2,
2020,NM,New Mexico,8.5,20.3,14.2,
2020,NV,Nevada,12.4,22.1,17.1,
2020,NY,New York,11.2,18.4,14.7,
2020,OH,Ohio,12.7,20.1,16.3,
2020,OK,Oklahoma,7.6,16.0,11.6,
2020,OR,Oregon,12.0,20.6,16.2,
2020,PA,Pennsylvania,12.7,21.1,16.8,
2020,PR,Puerto Rico,6.7,19.7,12.7,
2020,RI,Rhode Island,10.8,19.9,15.1,
2020,SC,South Carolina,10.8,21.0,15.7,
2020,SD,South Dakota,11.7,24.0,17.9,
2020,TN,Tennessee,9.7,18.9,14.1,
2020,TX,Texas,10.8,22.4,16.4,
2020,US,United States,11.4,20.3,15.7,
2020,UT,Utah,8.0,14.7,11.3,
2020,VA,Virginia,10.4,19.5,14.8,
2020,VI,Virgin Islands,,,,
2020,VT,Vermont,13.1,22.4,17.6,
2020,WA,Washington,12.7,18.1,15.4,
2020,WI,Wisconsin,17.5,28.3,22.8,
2020,WV,West Virginia,7.4,15.2,11.2,
2020,WY,Wyoming,12.0,20.5,16.4,
2021,AK,Alaska,14.3,20.5,17.5,
2021,AL,Alabama,8.2,17.3,12.5,
2021,AR,Arkansas,8.7,17.1,12.7,
2021,AZ,Arizona,11.4,20.4,15.9,
2021,CA,California,11.2,18.8,15.0,
2021,CO,Colorado,14.2,23.2,18.7,
2021,CT,Connecticut,11.0,16.5,13.6,
2021,DC,District of Columbia,18.8,26.7,22.5,
2021,DE,Delaware,9.7,16.4,12.9,
2021,FL,Florida,,,,
2021,GA,Georgia,9.5,20.0,14.5,
2021,GU,Guam,12.1,21.7,17.1,
2021,HI,Hawaii,12.3,21.0,16.6,
2021,IA,Iowa,14.3,26.1,20.1,
2021,ID,Idaho,11.0,17.2,14.0,
2021,IL,Illinois,11.4,18.5,14.8,
2021,IN,Indiana,11.8,19.3,15.4,
2021,KS,Kansas,13.4,22.1,17.7,
2021,KY,Kentucky,9.0,16.6,12.6,
2021,LA,Louisiana,13.3,21.5,17.2,
2021,MA,Massachusetts,13.1,19.7,16.2,
2021,MD,Maryland,10.0,16.3,13.0,
2021,ME,Maine,10.5,20.4,15.3,
2021,MI,Michigan,12.3,20.2,16.1,
2021,MN,Minnesota,13.9,21.9,17.9,
2021,MO,Missouri,11.5,22.0,16.6,
2021,MS,Mississippi,8.0,17.6,12.5,
2021,MT,Montana,15.4,25.6,20.5,
2021,NC,North Carolina,11.1,19.9,15.3,
2021,ND,North Dakota,15.0,26.3,20.8,
2021,NE,Nebraska,14.3,24.8,19.5,
2021,NH,New Hampshire,11.0,18.3,14.6,
2021,NJ,New Jersey,11.0,18.5,14.6,
2021,NM,New Mexico,9.7,16.8,13.2,
2021,NV,Nevada,8.6,16.9,12.7,
2021,NY,New York,11.5,18.6,14.9,
2021,OH,Ohio,13.5,20.3,16.8,
2021,OK,Oklahoma,7.5,16.6,11.9,
2021,OR,Oregon,11.3,20.5,15.8,
2021,PA,Pennsylvania,12.1,18.8,15.3,
2021,PR,Puerto Rico,7.5,17.8,12.2,
2021,RI,Rhode Island,12.8,22.2,17.3,
2021,SC,South Carolina,10.9,19.5,15.0,
2021,SD,South Dakota,14.8,24.4,19.6,
2021,TN,Tennessee,10.3,18.5,14.2,
2021,TX,Texas,12.0,21.1,16.4,
2021,US,United States,11.5,19.6,15.4,
2021,UT,Utah,8.4,15.1,11.7,
2021,VA,Virginia,12.5,18.5,15.4,
2021,VI,Virgin Islands,7.7,18.4,12.6,
2021,VT,Vermont,13.8,20.2,17.0,
2021,WA,Washington,11.7,18.9,15.2,
2021,WI,Wisconsin,17.9,25.9,21.9,
2021,WV,West Virginia,7.0,16.5,11.6,
2021,WY,Wyoming,12.5,19.3,15.9,
